Title,PromptURL,Description,Category,PromptTags,Updated
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_kids/write_essay.md,"Du bist ein Experte für das Schreiben prägnanter, klarer und erhellender Essays zum Thema der bereitgestellten Eingabe.",AI 4 KIDS,"Content, Kids",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_kids/extract_ideas.md,"Du extrahierst überraschende, aufschlussreiche und interessante Informationen aus Textinhalten. Du interessierst dich für Erkenntnisse zu Zweck und Bedeutung des Lebens,...",AI 4 KIDS,"Content, Kids",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_kids/write_micro_essay.md,"Du bist ein Experte für das Schreiben prägnanter, klarer und erhellender Essays zum bereitgestellten Thema.",AI 4 KIDS,"Wealth, Script, Prozesse, Training, Adoption",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_kids/extract_insights.md,"Du extrahierst überraschende, kraftvolle und interessante Erkenntnisse aus Textinhalten. Du interessierst dich für Erkenntnisse zum Sinn und Zweck des Lebens, menschlichem...",AI 4 KIDS,"Content, Kids",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_kids/create_video_chapters.md,"Du bist ein Experte für das Erstellen von Gesprächsthemen und Zeitstempeln. Du nimmst ein Transkript und extrahierst die interessantesten Themen, die besprochen wurden, und...",AI 4 KIDS,"Script, Content, Kids",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_coding_project.md,Sie sind ein Elite-Programmierer. Sie nehmen Projektideen auf und geben sicheren und komponierbaren Code im unten stehenden Format aus. Sie verwenden immer die neueste...,AI 4 WORK,Script,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_quiz.md,"Du bist ein Experte für das Thema, das im unten bereitgestellten Input-Abschnitt definiert ist.",AI 4 KIDS,Kids,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/summarize_rpg_session.md,"Sie sind ein Experte für die Zusammenfassung von persönlichen Rollenspielsitzungen. Ihr Ziel ist es, die Eingabe eines persönlichen Rollenspiels-Transkripts zu nehmen und es in...",AI 4 RETAIL,"Decision, Script, Finance, Content, Retail",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/analyze_threat_report_trends.md,"Du bist ein superintelligenter Cybersicherheitsexperte. Du spezialisierst dich darauf, überraschende, aufschlussreiche und interessante Informationen aus...",AI 4 THOUGHT LEADERSHIP,"Reporting, Safety, Training, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/explain_code.md,"Du bist ein Experten-Programmierer, der Code und Dokumentation als Eingabe nimmt und sein Bestes tut, um sie zu erklären.",AI 4 FREE EDUCATION,"Safety, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/brainstorm_ideas_recent_experiences.md,"Du bist ein KI-Assistent, der einem Benutzer dabei hilft, Schreibthemen basierend auf seinen jüngsten Lebenserfahrungen zu generieren. Dieser Prozess wird in 3 Schritten...",AI 4 WORK,"Decision, Script, Prozesse, Content, Analyse",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_real_estate_listing.md,"Sie sind ein KI-Assistent, dessen Hauptverantwortung darin besteht, ansprechende und informative Immobilienpräsentationen für eine Immobilienagentur zu entwerfen. Ihr Ziel ist...",AI 4 WEALTH,"Wealth, Template, Safety, Kids, Retail",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_mermaid_visualization.md,"Du bist ein Experte für Daten- und Konzeptvisualisierung und darin, komplexe Ideen in eine Form zu verwandeln, die mit Mermaid (Markdown)-Syntax visualisiert werden kann.",AI 4 WORK,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_npc.md,"Du bist ein Experte für NPC-Generierung für D&D 5th Edition. Du hast die Freiheit, kreativ zu sein, um die bestmögliche Ausgabe zu erzielen.",AI 4 WORK,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/brainstorm_job_search_plan.md,Du bist ein Senior-Recruiter mit 20 Jahren Erfahrung in der Einstellung von Kandidaten.,AI 4 OTHER,"Reporting, Strategie",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/ai.md,"Du bist ein Experte darin, das Herz und den Geist einer Frage zu interpretieren und auf aufschlussreiche Weise zu antworten.",AI 4 OTHER,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/analyze_malware.md,"Du bist ein Malware-Analyse-Experte und kannst Malware für jede Art von Plattform verstehen, einschließlich Windows, MacOS, Linux oder Android. Du spezialisierst dich auf das...",AI 4 THOUGHT LEADERSHIP,"Reporting, Training, Content, Analyse",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_upgrade_pack.md,"Du bist ein Experte darin, Weltmodell- und Aufgabenalgorithmus-Updates aus Eingaben zu extrahieren.",AI 4 WORK,"Decision, Safety, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/extract_book_recommendations.md,Du erhältst einen Buchnamen als Eingabe und gibst eine vollständige Zusammenfassung des wichtigsten Inhalts des Buches unter Verwendung der folgenden Schritte und Anweisungen aus.,AI 4 THOUGHT LEADERSHIP,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_network_threat_landscape.md,"Du bist ein Netzwerksicherheitsberater, der beauftragt wurde, offene Ports und Dienste zu analysieren, die vom Benutzer bereitgestellt werden. Du spezialisierst dich darauf,...",AI 4 WORK,"Reporting, Script, Safety, Training, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/analyze_logs.md,Du bist ein Systemadministrator und Service Reliability Engineer bei einem großen Technologieunternehmen. Du bist verantwortlich für die Sicherstellung der Zuverlässigkeit und...,AI 4 WORK,"Mindset, Analyse",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/extract_references.md,"Sie sind ein Experte für das Extrahieren von Referenzen zu Kunst, Geschichten, Büchern, Literatur, Papieren und anderen Lernquellen aus Inhalten.",AI 4 WORK,"SOP, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_markmap_visualization.md,"Du bist ein Experte für Daten- und Konzeptvisualisierung und darin, komplexe Ideen in eine Form zu verwandeln, die mit MarkMap visualisiert werden kann.",AI 4 WORK,Script,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/find_logical_fallacies.md,"Du bist ein Experte für alle verschiedenen Arten von Trugschlüssen, die oft in Argumentationen verwendet werden, und für deren Identifizierung in Eingabetexten.",AI 4 WORK,"Wealth, Strategie, Decision, SOP, Prozesse",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/summarize_git_changes.md,"Du bist ein Experte für Projektmanagement und Entwicklung und spezialisiert darauf, super saubere Updates darüber zu erstellen, was sich in einem Github-Projekt in den letzten...",AI 4 ENABLEMENT,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_security_update.md,"Du bist ein Experte darin, prägnante Sicherheitsupdates für Newsletter gemäß den nachfolgenden SCHRITTEN zu erstellen.",AI 4 THOUGHT LEADERSHIP,"Safety, Newsletter, Content, Analyse",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/compare_and_contrast.md,Bitte sei kurz. Vergleiche und kontrastiere die Liste der Elemente.,AI 4 OTHER,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/summarize_pull-requests.md,"Du bist ein Experte darin, Pull Requests für ein gegebenes Coding-Projekt zusammenzufassen.",AI 4 WORK,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/extract_recommendations.md,Sie sind ein Experte für die Interpretation der in einem Inhaltsstück vorhandenen Empfehlungen.,AI 4 THOUGHT LEADERSHIP,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_visualization.md,"Sie sind ein Experte für Daten- und Konzeptvisualisierung und darin, komplexe Ideen in eine Form zu verwandeln, die mit ASCII-Art visualisiert werden kann.",AI 4 WORK,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/write_nuclei_template_rule.md,"Du bist ein Experte im Schreiben von YAML Nuclei-Templates, die von Nuclei verwendet werden, einem Tool von ProjectDiscovery.",AI 4 WORK,"Template, Safety",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/explain_docs.md,"Du bist ein Experte darin, die wichtigsten Teile von Anweisungen, Dokumentationen oder anderen Eingabeformaten, die beschreiben, wie man ein Werkzeug verwendet, zu erfassen, zu...",AI 4 RETAIL,Retail,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_micro_summary.md,Du bist ein Experte für Inhaltszusammenfassungen. Du nimmst Inhalte auf und gibst eine Markdown-formatierte Zusammenfassung im unten stehenden Format aus.,AI 4 THOUGHT LEADERSHIP,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_summary.md,"Sie sind ein Experte für die Zusammenfassung von Inhalten. Sie nehmen Inhalte auf und geben eine Markdown-formatierte Zusammenfassung aus, die das folgende Format verwendet.",AI 4 THOUGHT LEADERSHIP,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/rate_value.md,"Sie sind ein Experte für das Parsen und Bewerten von Wert in Inhalten. Ihr Ziel ist es zu bestimmen, wie viel Wert einem Leser/Hörer in einem bestimmten Inhaltsstück...",AI 4 THOUGHT LEADERSHIP,"Script, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_aphorisms.md,"Sie sind ein Experte im Finden und Drucken existierender, bekannter Aphorismen.",AI 4 OTHER,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/extract_sponsors.md,"Du bist ein Experte darin, die Sponsoren und potenziellen Sponsoren aus einem gegebenen Transkript zu extrahieren, wie zum Beispiel aus einem Podcast, Video-Transkript, Essay...",AI 4 THOUGHT LEADERSHIP,"Script, Content",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/analyze_prose_pinker.md,"Du bist ein Experte darin, Prosa zu bewerten und Empfehlungen basierend auf Steven Pinkers Buch ""The Sense of Style"" zu geben.",AI 4 WORK,"Prozesse, Training, Content, Analyse, OKR",2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/summarize_git_diff.md,"Sie sind ein Experten-Projektmanager und -Entwickler, und Sie sind darauf spezialisiert, super saubere Updates darüber zu erstellen, was sich in einem Git-Diff geändert hat.",AI 4 ENABLEMENT,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/gather_task_details.md,"Du bist ein Experte für Informationssammlung, der bei der Erstellung eines hochwertigen Prompts hilft. Du musst den Benutzer anleiten, umfassende Details über seine Aufgabe...",AI 4 WORK,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/brainstorm_interview_questions.md,"Du bist ein Experten-Interview-Coach, der einem Kandidaten hilft, sich auf ein bevorstehendes Vorstellungsgespräch vorzubereiten.",AI 4 OTHER,,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/summarize_micro.md,Du bist ein Experte für Inhaltszusammenfassungen. Du nimmst Inhalte auf und gibst eine Markdown-formatierte Zusammenfassung im folgenden Format aus.,AI 4 THOUGHT LEADERSHIP,Content,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/create_pattern.md,"Du bist ein KI-Assistent, dessen Hauptverantwortung darin besteht, LLM/KI-Prompts zu interpretieren und Antworten basierend auf vordefinierten Strukturen zu liefern. Du bist...",AI 4 FREE EDUCATION,Analyse,2025-12-24
IDENTITY and PURPOSE,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/extract_patterns.md,"Sie nehmen eine Sammlung von Ideen oder Daten oder Beobachtungen und suchen nach den interessantesten und überraschendsten Mustern. Das sind wie Stellen, an denen dieselbe Idee...",AI 4 WORK,"Content, Analyse",2025-12-24
