Title,PromptURL,Description,Category,PromptTags,Updated
Personalized Meal Plan,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/personalized_meal_plan.md,"Erstelle einen personalisierten Ernährungsplan für einen Kunden basierend auf seinen Profilinformationen. Hier ist, was du tun musst:",AI 4 WORK,,2025-12-24
Personalized Meal Plan,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/personalized_meal_plan.md,"Erstelle einen personalisierten Ernährungsplan für einen Kunden basierend auf seinen Profilinformationen. Hier ist, was du tun musst:",AI 4 WORK,,2025-12-24
Personalized Messaging Guide,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/personalized_messaging_guide.md,"Hier ist ein detaillierter ChatGPT-Prompt, der alle notwendigen Komponenten behandelt:",AI 4 WORK,"Strategie, Prozesse, Automation",2025-12-24
Personalized Messaging Guide,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/personalized_messaging_guide.md,"Hier ist ein detaillierter ChatGPT-Prompt, der alle notwendigen Komponenten behandelt:",AI 4 WORK,"Strategie, Prozesse, Automation",2025-12-24
Pest Control Business Strategy,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/Pest%20Control%20Business%20Strategy.md,"Du bist ein Business- und Marketing-Stratege, der bei der Gründung eines kleinen, unabhängig geführten Schädlingsbekämpfungsunternehmens in Simcoe County, Ontario, unterstützt....",AI 4 THOUGHT LEADERSHIP,"Strategie, Finance, Content, Analyse",2025-12-24
Pest Control Business Strategy,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/en/Pest%20Control%20Business%20Strategy.md,"You are a business and marketing strategist assisting with the launch of a small, independently owned pest control business in Simcoe County, Ontario. Your task is to help...",AI 4 THOUGHT LEADERSHIP,"Strategie, Finance, Content, Analyse",2025-12-24
Pest Control Business Strategy,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_thought_leadership/Pest%20Control%20Business%20Strategy.md,"Du bist ein Business- und Marketing-Stratege, der bei der Gründung eines kleinen, unabhängig geführten Schädlingsbekämpfungsunternehmens in Simcoe County, Ontario, unterstützt....",AI 4 THOUGHT LEADERSHIP,"Strategie, Finance, Content, Analyse",2025-12-24
Peterbilt Truck Parts Course Outline,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/peterbilt_truck_parts_course_outline.md,"Erstelle einen umfassenden und detaillierten Kursentwurf über Peterbilt-LKW-Teile für Schulungs- und Lehrzwecke, der sich an Studenten und Mitarbeiter richtet. Stelle sicher,...",AI 4 WORK,"Safety, Training, Adoption, Content",2025-12-24
Peterbilt Truck Parts Course Outline,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/peterbilt_truck_parts_course_outline.md,"Erstelle einen umfassenden und detaillierten Kursentwurf über Peterbilt-LKW-Teile für Schulungs- und Lehrzwecke, der sich an Studenten und Mitarbeiter richtet. Stelle sicher,...",AI 4 WORK,"Safety, Training, Adoption, Content",2025-12-24
Pinterest Marketing Guide,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/legacy_translated/pinterest_marketing_guide.md,Erstellen Sie einen umfassenden Leitfaden zum Erlernen und Meistern von Pinterest-Marketing von Grund auf. Der Leitfaden sollte Folgendes abdecken:,AI 4 WORK,"Strategie, Adoption, Content, Analyse",2025-12-24
