Title,PromptURL,Description,Category,Level,PromptTags,Updated
Linkedin Outreach Cognitive Test,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/linkedin_outreach_cognitive_test.md,"Schreibe eine professionelle und überzeugende LinkedIn-Outreach-Nachricht, die sich an akademische oder klinische Forscher richtet, um einen validierten kognitiven...",AI 4 WORK,Profi,"LinkedIn, Research, Email, Finance",2025-12-24
Linkedin Profile Optimization,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/linkedin_profile_optimization.md,"Erstelle einen optimierten Abschnitt für ein LinkedIn-Profil, das sich auf Tech, Beratung, eCommerce, Vertrieb, Partnerschaften und strategische/geschäftliche Entwicklung...",AI 4 WORK,Experte,"LinkedIn, Email, Strategie",2025-12-24
Linkedin Profile Optimization,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/linkedin_profile_optimization.md,"Erstelle einen optimierten Abschnitt für ein LinkedIn-Profil, das sich auf Tech, Beratung, eCommerce, Vertrieb, Partnerschaften und strategische/geschäftliche Entwicklung...",AI 4 WORK,Experte,"LinkedIn, Email, Strategie",2025-12-24
Linkedin Profile Summary,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/linkedin_profile_summary.md,"Erstelle eine Zusammenfassung für ein LinkedIn-Profil, die die Aufmerksamkeit von Personalvermittlern und anderen Fachleuten auf sich zieht. Stelle sicher, dass die...",AI 4 WORK,Experte,"LinkedIn, Adoption",2025-12-24
Linkedin Profile Summary,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/linkedin_profile_summary.md,"Erstelle eine Zusammenfassung für ein LinkedIn-Profil, die die Aufmerksamkeit von Personalvermittlern und anderen Fachleuten auf sich zieht. Stelle sicher, dass die...",AI 4 WORK,Experte,"LinkedIn, Adoption",2025-12-24
Log Book Development Ideas,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/log_book_development_ideas.md,Entwerfe einen Prompt für ein ChatGPT-Modell basierend auf dem folgenden Aufgabenentwurf:,AI 4 THOUGHT LEADERSHIP,Experte,"Content, Retail, Strategie",2025-12-24
Log Book Development Ideas,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/log_book_development_ideas.md,Entwerfe einen Prompt für ein ChatGPT-Modell basierend auf dem folgenden Aufgabenentwurf:,AI 4 THOUGHT LEADERSHIP,Experte,"Content, Retail, Strategie",2025-12-24
Luxury Bathroom Description,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/luxury_bathroom_description.md,"Erstellen Sie eine detaillierte Beschreibung für ein Bild, das eine luxuriöse Badezimmerrenovierung für einen Kunden einer Marketingagentur zeigt, die sich auf Küchen- und...",AI 4 WORK,Experte,Script,2025-12-24
Luxury Bathroom Description,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/luxury_bathroom_description.md,"Erstellen Sie eine detaillierte Beschreibung für ein Bild, das eine luxuriöse Badezimmerrenovierung für einen Kunden einer Marketingagentur zeigt, die sich auf Küchen- und...",AI 4 WORK,Experte,Script,2025-12-24
Luxury Hospitality Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/Luxury%20Hospitality%20Training.md,"Erstellen Sie umfassende Tourismus- und Gastgewerbe-Schulungsinhalte mit Schwerpunkt auf dem Bereich der modernen Luxusgastronomie. Das Ziel ist es, Studenten und...",AI 4 ENABLEMENT,Experte,"Training, Content, Finance, Kids, Strategie",2025-12-24
Luxury Hospitality Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Luxury%20Hospitality%20Training.md,"Erstellen Sie umfassende Tourismus- und Gastgewerbe-Schulungsinhalte mit Schwerpunkt auf dem Bereich der modernen Luxusgastronomie. Das Ziel ist es, Studenten und...",AI 4 ENABLEMENT,Experte,"Training, Content, Finance, Kids, Strategie",2025-12-24
Luxury Hospitality Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Luxury%20Hospitality%20Training.md,Create comprehensive tourism and hospitality training content focused on the field of luxury modern hospitality. The aim is to educate students and hospitality professionals....,AI 4 ENABLEMENT,Experte,"Training, Content, Strategie",2025-12-24
Luxury Hospitality Training,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Luxury%20Hospitality%20Training.md,Erstelle comprehensive tourism and hospitality training Inhalt focused on the field of luxury modern hospitality. The aim is to educate students and hospitality professionals....,AI 4 ENABLEMENT,Experte,"Training, Content, Strategie",2025-12-24
