Title,PromptURL,Description,Category,Level,PromptTags,Updated
Sales Workflow Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Sales%20Workflow%20Guide.md,"Erstelle einen umfassenden Leitfaden zur Unterstützung des Vertriebs-Workflows, mit speziellem Fokus auf die folgenden Bereiche:",AI 4 WORK,Profi,"Prozesse, Retail, Script, Strategie",2025-12-24
Sales Workflow Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Sales%20Workflow%20Guide.md,"Create a comprehensive guide to support the sales workflow, specifically focusing on the following areas:",AI 4 WORK,Profi,"Prozesse, Retail, Research, Script, Strategie",2025-12-24
Sales Workflow Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Sales%20Workflow%20Guide.md,"Erstelle einen umfassenden Leitfaden zur Unterstützung des Vertriebs-Workflows, mit speziellem Fokus auf die folgenden Bereiche:",AI 4 WORK,Profi,"Prozesse, Retail, Script, Strategie",2025-12-24
Scholarship Personal Statement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Scholarship%20Personal%20Statement.md,"Handle als professioneller Stipendien-Bewerbungsassistent. Ich bin ein Highschool-Absolvent mit akademischen Auszeichnungen und ein Top-Studentenathlet im Basketball, der...",AI 4 WORK,Profi,"Finance, Kids",2025-12-24
Scholarship Personal Statement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Scholarship%20Personal%20Statement.md,"Act as a professional scholarship application assistant. I am a high school graduate with academic honors and a top student basketball athlete, planning to attend college for...",AI 4 WORK,Profi,Kids,2025-12-24
Scholarship Personal Statement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Scholarship%20Personal%20Statement.md,"Act as a professional scholarship application assistant. I am a high school graduate with academic honors and a top student basketball athlete, planning to attend college for...",AI 4 WORK,Profi,Kids,2025-12-24
Scholarship Personal Statement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Scholarship%20Personal%20Statement.md,"Handle als professioneller Stipendien-Bewerbungsassistent. Ich bin ein Highschool-Absolvent mit akademischen Auszeichnungen und ein Top-Studentenathlet im Basketball, der...",AI 4 WORK,Profi,"Finance, Kids",2025-12-24
Schulden-Strategie,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/06_schulden_strategie.md,"Erstellt einen Plan: welche Schulden zuerst, wie motivierend bleiben. Bildung, keine Anlageberatung.",AI 4 WEALTH,Einsteiger,"Wealth, Reporting, Finance, Strategie",2025-12-24
Schulden-Strategie,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/06_schulden_strategie.md,"Erstellt einen Plan: welche Schulden zuerst, wie motivierend bleiben. Bildung, keine Anlageberatung.",AI 4 WEALTH,Einsteiger,"Wealth, Reporting, Finance, Strategie",2025-12-24
Screenplay To Novel Adaptation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/screenplay_to_novel_adaptation.md,Erstellen Sie eine umfassende Gliederung zur Transformation eines Drehbuchs in einen Roman. Behandeln Sie die folgenden Aspekte:,AI 4 WORK,Profi,Strategie,2025-12-24
Screenplay To Novel Adaptation,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/screenplay_to_novel_adaptation.md,Erstellen Sie eine umfassende Gliederung zur Transformation eines Drehbuchs in einen Roman. Behandeln Sie die folgenden Aspekte:,AI 4 WORK,Profi,Strategie,2025-12-24
Search Function Enhancement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/search_function_enhancement.md,Ich habe eine Anfrage zur Verbesserung einer Website. Könnten Sie bitte:,AI 4 WORK,Einsteiger,,2025-12-24
Search Function Enhancement,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/search_function_enhancement.md,Ich habe eine Anfrage zur Verbesserung einer Website. Könnten Sie bitte:,AI 4 WORK,Einsteiger,,2025-12-24
Self Help Journey Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/self_help_journey_guide.md,Erstelle einen Selbsthilfe- und innere-Arbeit-Leitfaden für eine sechsmonatige Reise. Der Leitfaden sollte eine detaillierte Checkliste mit wöchentlichen oder täglichen...,AI 4 WORK,Profi,"Checkliste, Safety, Workshop",2025-12-24
Self Help Journey Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/self_help_journey_guide.md,Erstelle einen Selbsthilfe- und innere-Arbeit-Leitfaden für eine sechsmonatige Reise. Der Leitfaden sollte eine detaillierte Checkliste mit wöchentlichen oder täglichen...,AI 4 WORK,Profi,"Checkliste, Safety, Workshop",2025-12-24
Self Improvement Strategien,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Self%20Improvement%20Strategies.md,Stelle mir clarifying Fragen until you are 95% confident you can complete the task successfully. Atme tief durch and take it Schritt für Schritt. Remember to search the...,AI 4 WORK,Einsteiger,"Training, Strategie",2025-12-24
Self Improvement Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Self%20Improvement%20Strategies.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet...",AI 4 WORK,Einsteiger,"Training, Strategie",2025-12-24
Self Improvement Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Self%20Improvement%20Strategies.md,Ask me clarifying questions until you are 95% confident you can complete the task successfully. Take a deep breath and take it step by step. Remember to search the internet to...,AI 4 WORK,Einsteiger,"Training, Strategie",2025-12-24
Self Improvement Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Self%20Improvement%20Strategies.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet...",AI 4 WORK,Einsteiger,"Training, Strategie",2025-12-24
Self Improvement Techniques,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/self_improvement_techniques.md,"Erstellen Sie eine Antwort, als würden Sie Ratschläge von Tony Robbins zum Aufbau besserer Selbstgespräche und Selbstverbesserung zur Erreichung persönlicher Ziele geben....",AI 4 FREE EDUCATION,Profi,Strategie,2025-12-24
Self Improvement Techniques,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/self_improvement_techniques.md,"Erstellen Sie eine Antwort, als würden Sie Ratschläge von Tony Robbins zum Aufbau besserer Selbstgespräche und Selbstverbesserung zur Erreichung persönlicher Ziele geben....",AI 4 FREE EDUCATION,Profi,Strategie,2025-12-24
Seo Article Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/seo_article_outline.md,Erstellen Sie einen umfassenden SEO-optimierten Artikelentwurf und Content-Plan:,AI 4 THOUGHT LEADERSHIP,Experte,"Content, Strategie",2025-12-24
Seo Article Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/seo_article_outline.md,Erstellen Sie einen umfassenden SEO-optimierten Artikelentwurf und Content-Plan:,AI 4 THOUGHT LEADERSHIP,Experte,"Content, Strategie",2025-12-24
Seo Travel Blog Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/seo_travel_blog_guide.md,"Ich schreibe einen Reiseblog-Artikel über meine 3-tägige Reise nach St. Augustine, Florida, speziell mit Schwerpunkt auf ""23 Orte, die du in St. Augustine sehen musst."" Ich...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Seo Travel Blog Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/seo_travel_blog_guide.md,"Ich schreibe einen Reiseblog-Artikel über meine 3-tägige Reise nach St. Augustine, Florida, speziell mit Schwerpunkt auf ""23 Orte, die du in St. Augustine sehen musst."" Ich...",AI 4 WORK,Profi,"Content, Strategie",2025-12-24
Service Desk Development Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/service_desk_development_plan.md,"Erstellen Sie einen jährlichen oder vierteljährlichen Entwicklungsplan für das Service-Desk-Team, der darauf abzielt, die Effizienz zu verbessern, die Problemlösungszeiten zu...",AI 4 ENABLEMENT,Profi,"Training, Prozesse, Reporting, SOP, Strategie",2025-12-24
Service Desk Development Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/service_desk_development_plan.md,"Erstellen Sie einen jährlichen oder vierteljährlichen Entwicklungsplan für das Service-Desk-Team, der darauf abzielt, die Effizienz zu verbessern, die Problemlösungszeiten zu...",AI 4 ENABLEMENT,Profi,"Training, Prozesse, Reporting, SOP, Strategie",2025-12-24
Setting Up Tiktok Shop,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Setting%20Up%20TikTok%20Shop.md,Erstellen Sie einen umfassenden Leitfaden zur Einrichtung und Optimierung eines TikTok Shop. Ihre Antwort sollte Folgendes enthalten:,AI 4 WORK,Experte,"Prozesse, Retail, Adoption, Analyse, Strategie",2025-12-24
Setting Up Tiktok Shop,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Setting%20Up%20TikTok%20Shop.md,Create a comprehensive guide on setting up and optimizing a TikTok Shop. Your response should include:,AI 4 WORK,Profi,"Prozesse, Retail, Script, Strategie",2025-12-24
Setting Up Tiktok Shop,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Setting%20Up%20TikTok%20Shop.md,Erstelle einen comprehensive Leitfaden on setting up and optimizing a TikTok Shop. Your response should include:,AI 4 WORK,Profi,"Prozesse, Retail, Script, Strategie",2025-12-24
Setting Up Tiktok Shop,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Setting%20Up%20TikTok%20Shop.md,Erstellen Sie einen umfassenden Leitfaden zur Einrichtung und Optimierung eines TikTok Shop. Ihre Antwort sollte Folgendes enthalten:,AI 4 WORK,Experte,"Prozesse, Retail, Adoption, Analyse, Strategie",2025-12-24
Show Fabric Options,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/show_fabric_options.md,"Sie erhalten eine Excel-Tabelle. Generieren Sie für jede Zeile Inhalt für Spalte F, indem Sie diese detaillierten Anweisungen befolgen:",AI 4 RETAIL,Profi,"Content, Retail",2025-12-24
Show Fabric Options,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/show_fabric_options.md,"Sie erhalten eine Excel-Tabelle. Generieren Sie für jede Zeile Inhalt für Spalte F, indem Sie diese detaillierten Anweisungen befolgen:",AI 4 RETAIL,Profi,"Content, Retail",2025-12-24
Signal Analysis Curriculum,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/signal_analysis_curriculum.md,"Erstelle einen umfassenden Lehrplan für einen vollständigen Signalanalysekurs, der vom Anfänger- bis zum Expertenlevel fortschreitet. Deine Aufgabe ist es, die Kursstruktur zu...",AI 4 LITERACY,Experte,"Training, Adoption, Research, Analyse",2025-12-24
Signal Analysis Curriculum,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_literacy/signal_analysis_curriculum.md,"Erstelle einen umfassenden Lehrplan für einen vollständigen Signalanalysekurs, der vom Anfänger- bis zum Expertenlevel fortschreitet. Deine Aufgabe ist es, die Kursstruktur zu...",AI 4 LITERACY,Experte,"Training, Adoption, Research, Analyse",2025-12-24
Simplify Learning Content,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/simplify_learning_content.md,"Transformiere den folgenden Lerninhalt in vereinfachtes Englisch, das für Menschen mit intellektuellen Behinderungen geeignet ist. Das Ziel ist es, sicherzustellen, dass die...",AI 4 WORK,Einsteiger,"Content, Email",2025-12-24
Simplify Learning Content,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/simplify_learning_content.md,"Transformiere den folgenden Lerninhalt in vereinfachtes Englisch, das für Menschen mit intellektuellen Behinderungen geeignet ist. Das Ziel ist es, sicherzustellen, dass die...",AI 4 WORK,Einsteiger,"Content, Email",2025-12-24
Simplifying Scam Email Awareness,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/simplifying_scam_email_awareness.md,"Überarbeiten Sie den untenstehenden Text, um die Informationen für Menschen mit geistigen Behinderungen verständlicher zu machen, und stellen Sie sicher, dass die Bedeutung...",AI 4 WORK,Einsteiger,"Content, Email",2025-12-24
Simplifying Scam Email Awareness,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/simplifying_scam_email_awareness.md,"Überarbeiten Sie den untenstehenden Text, um die Informationen für Menschen mit geistigen Behinderungen verständlicher zu machen, und stellen Sie sicher, dass die Bedeutung...",AI 4 WORK,Einsteiger,"Content, Email",2025-12-24
Soccer Scouting Report Enhancements,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/soccer_scouting_report_enhancements.md,"Ich benötige Hilfe bei der Verbesserung meiner Fußball-Scouting-Berichte für einen englischen Verein, mit Fokus auf Spieler in Südamerika. Bitte stellen Sie mir eine Vielzahl...",AI 4 WORK,Profi,"Decision, Reporting",2025-12-24
Soccer Scouting Report Enhancements,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/soccer_scouting_report_enhancements.md,"Ich benötige Hilfe bei der Verbesserung meiner Fußball-Scouting-Berichte für einen englischen Verein, mit Fokus auf Spieler in Südamerika. Bitte stellen Sie mir eine Vielzahl...",AI 4 WORK,Profi,"Decision, Reporting",2025-12-24
Social Media Branding Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/social_media_branding_strategies.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das...",AI 4 THOUGHT LEADERSHIP,Experte,"Retail, Research, Strategie",2025-12-24
Social Media Branding Strategies,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/social_media_branding_strategies.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das...",AI 4 THOUGHT LEADERSHIP,Experte,"Retail, Research, Strategie",2025-12-24
Social Media Campaign For Personal Trainer,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/Social%20Media%20Campaign%20for%20Personal%20Trainer.md,"Erstellen Sie eine überzeugende, professionell geschriebene Social-Media-Werbekampagne für einen Personal Trainer, dessen Kundenstamm hauptsächlich Ozempic verwendet. Das Ziel...",AI 4 THOUGHT LEADERSHIP,Experte,"LinkedIn, Training, Content",2025-12-24
Social Media Campaign For Personal Trainer,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/en/Social%20Media%20Campaign%20for%20Personal%20Trainer.md,"Create a compelling, professionally written social media promotional campaign for a personal trainer whose client base primarily uses Ozempic. The goal is to attract new...",AI 4 THOUGHT LEADERSHIP,Experte,"LinkedIn, Training, Content",2025-12-24
