Title,Category,Tags,Path,SourcePath,Updated,RawURL
30 Day Project Management Course,ai4_work,"legacy, translated",library/de/ai4_work/30_day_project_management_course.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/30_day_project_management_course.md
AI-Policy in Klartext,ai4_enablement,"legacy, translated",library/de/ai4_enablement/05_ai_policy_in_klartext.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_enablement/05_ai_policy_in_klartext.md
Accounting Business Website Content,ai4_work,"legacy, translated",library/de/ai4_work/accounting_business_website_content.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/accounting_business_website_content.md
Achieving Banking Goals,ai4_work,"legacy, translated",library/de/ai4_work/achieving_banking_goals.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/achieving_banking_goals.md
Achieving Spotify Success Playbook,ai4_work,"legacy, translated",library/de/ai4_work/achieving_spotify_success_playbook.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/achieving_spotify_success_playbook.md
Adhd Accountability Buddy,ai4_work,"legacy, translated",library/de/ai4_work/adhd_accountability_buddy.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/adhd_accountability_buddy.md
Adhd And Autism Management Guide,ai4_free_education,"legacy, translated",library/de/ai4_free_education/adhd_and_autism_management_guide.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_free_education/adhd_and_autism_management_guide.md
Adhd Characters Dialogue,ai4_work,"legacy, translated",library/de/ai4_work/adhd_characters_dialogue.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/adhd_characters_dialogue.md
Adjusting To Night Shift,ai4_work,"legacy, translated",library/de/ai4_work/adjusting_to_night_shift.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/adjusting_to_night_shift.md
Adoption KPI Dashboard,ai4_enablement,"legacy, translated",library/de/ai4_enablement/06_adoption_kpi_dashboard.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_enablement/06_adoption_kpi_dashboard.md
Affiliate Marketing Guide,ai4_work,"legacy, translated",library/de/ai4_work/affiliate_marketing_guide.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_work/affiliate_marketing_guide.md
African Folk Tale Creation,ai4_thought_leadership,"legacy, translated",library/de/ai4_thought_leadership/african_folk_tale_creation.md,,2025-12-24,https://raw.githubusercontent.com/janafattah/prompts/main/library/de/ai4_thought_leadership/african_folk_tale_creation.md
