Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Create Lead Magnet,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Create%20Lead%20Magnet.md,"Stelle mir klärende Fragen, bis du zu 95 % sicher bist, dass du die Aufgabe erfolgreich erledigen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Inter...",AI 4 WORK,Profi,"Email, Template, Checkliste, Finance, Content",2025-12-24
Create Lesson Plans,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_lesson_plans.md,"Erstelle detaillierte Unterrichtspläne für Online-Englisch- und Portugiesischkurse. Jeder Unterrichtsplan sollte ansprechend, effektiv und auf die Bedürfnisse der Schüler zugesc...",AI 4 WORK,Profi,"Content, Training",2025-12-24
Create Lofi Music Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/create_lofi_music_guide.md,"Erstelle einen detaillierten Leitfaden zur Produktion von Musik ähnlich wie YouTube's Lofi Girl, einschließlich Empfehlungen für Länge und begleitende Grafiken. Behandle folgend...",AI 4 FREE EDUCATION,Profi,,2025-12-24
Create Logo,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_logo.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95 % sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. De...",AI 4 WORK,Profi,Content,2025-12-24
Create M&a Analysis,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/Create%20M&A%20Analysis.md,Sicherlich! Hier ist der hochwertige ChatGPT-Prompt basierend auf der analysierten Anfrage:,AI 4 WORK,Experte,"Analyse, Research, Finance, Reporting, Decision",2025-12-24
Create Marketing Ebook,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/create_marketing_ebook.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, dass du die Aufgabe erfolgreich abschließen kannst. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, das Int...",AI 4 THOUGHT LEADERSHIP,Profi,"Content, Strategie",2025-12-24
Create Marketing Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_marketing_plan.md,Erstelle einen detaillierten Plan für alle Marketingaufgaben eines Unternehmens mit Fokus auf die folgenden Bereiche:,AI 4 WORK,Profi,"Email, Analyse, Content, Strategie",2025-12-24
Create Marketing Prompts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/create_marketing_prompts.md,"Agiere als kreativer Stratege und Content-Generator für eine E-Mail-Marketing-Agentur. Ich benötige hochwertige Prompts, die für die Verwendung auf verschiedenen KI-Plattformen ...",AI 4 WORK,Profi,"Email, Retail, Content, Adoption, Strategie",2025-12-24
Create Marketing Sales Letter,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_marketing_sales_letter.md,"Erstellen Sie einen Marketing-Verkaufsbrief, der:",AI 4 RETAIL,Profi,Retail,2025-12-24
Create Marketing Sales Letter Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/create_marketing_sales_letter_outline.md,"Erstelle eine umfassende Gliederung dessen, was ein Marketing-Verkaufsbrief enthalten sollte. Erwäge die Einbeziehung folgender Komponenten:",AI 4 RETAIL,Profi,"Retail, Strategie",2025-12-24
