Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Event Outfit Brief,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail_closella/08_event_outfit_brief.md,Erstellt ein Outfit-Briefing für ein Event (inkl. Einkaufs-Optionen).,AI 4 RETAIL,Einsteiger,Retail,2025-12-23
Excel Guide For Business Managers,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/excel_guide_for_business_managers.md,"Erstelle einen Leitfaden zur Verwendung von Microsoft Excel für Geschäftsführer, die mittlere Fähigkeiten zur Berichterstellung und -verwaltung nutzen möchten. Der Leitfaden sol...",AI 4 FREE EDUCATION,Einsteiger,"Analyse, Automation, Safety, Training, Reporting",2025-12-24
Executiveassistantefficiencyguide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/ExecutiveAssistantEfficiencyGuide.md,"Erstellen Sie einen detaillierten Leitfaden, wie man als Executive Assistant effizienter wird, und skizzieren Sie Tricks und Fähigkeiten, die erlernt werden können, um sich in d...",AI 4 WORK,Profi,"Email, Training, Strategie",2025-12-24
Explain Medical Test Results,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/explain_medical_test_results.md,"Erstelle eine detaillierte Erklärung medizinischer Testergebnisse auf dem Leseniveau der 5. Klasse. Die Erklärung sollte verschiedene Arten von Tests umfassen, einschließlich:",AI 4 WORK,Einsteiger,,2025-12-24
Explore Mandalas And Sacred Forms,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/explore_mandalas_and_sacred_forms.md,"Erstelle einen umfassenden 6-seitigen Leitfaden, der Mandalas und heilige Formen erforscht. Bitte beziehe folgende Komponenten im Detail ein:",AI 4 WORK,Einsteiger,"Prozesse, Adoption",2025-12-24
Export Chatgpt Conversations,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/export_chatgpt_conversations.md,"Erstelle einen detaillierten Leitfaden zum Exportieren der Chats von ChatGPT in Dokumente oder Datenbanken, um die wertvollen Inhalte zu bewahren. Bitte schließe ein:",AI 4 WORK,Profi,"Automation, Prozesse, Content",2025-12-24
Extract Content From Youtube And Podcasts,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/extract_content_from_youtube_and_podcasts.md,"Stelle mir klärende Fragen, bis du zu 95% sicher bist, die Aufgabe erfolgreich abschließen zu können. Atme tief durch und gehe Schritt für Schritt vor. Denke daran, im Internet ...",AI 4 THOUGHT LEADERSHIP,Profi,"Script, Content",2025-12-24
Extract Insurance Quotations,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/extract_insurance_quotations.md,"```markdown Sie haben die Aufgabe, ChatGPT zu verwenden, um bei der Datenextraktion, dem Vergleich und der Berichterstellung für Versicherungsangebote aus PDF-Dateien zu helfen....",AI 4 WORK,Profi,"Analyse, Reporting",2025-12-24
Extract Study Material,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/extract_study_material.md,"Sicher! Hier ist ein verfein erter ChatGPT-Prompt, zugeschnitten auf die Aufgabe:",AI 4 WORK,Profi,Kids,2025-12-24
Extract Wisdom,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_enablement/extract_wisdom.md,"```markdown Ich habe ein langes Gespräch mit ChatGPT als Markdown exportiert, das verschiedene Ideen, Verbesserungen und Einblicke im Zusammenhang mit der Entwicklung eines Gesc...",AI 4 ENABLEMENT,Einsteiger,"Content, Training",2025-12-24
