Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
Guide To Develop Digital Product,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/guide_to_develop_digital_product.md,"Erstellen Sie einen detaillierten Leitfaden, der mir hilft, ein digitales Produkt in der Branche für digitale Produkte zu entwickeln. Hier ist, was ich brauche:",AI 4 FREE EDUCATION,Profi,"Research, Retail, Strategie",2025-12-24
Guide To Validate Business Idea,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/guide_to_validate_business_idea.md,"Erstelle einen umfassenden Leitfaden zur Validierung einer App- oder Geschäftsidee. Das Ziel ist es, einen schrittweisen Rahmen bereitzustellen, dem man folgen kann, um die Real...",AI 4 WORK,Einsteiger,"SOP, Analyse, Finance, Strategie, Decision",2025-12-24
Hackathon Ai Workshop Outline,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/hackathon_ai_workshop_outline.md,"Erstelle eine umfassende Workshop-Gliederung für eine Hackathon-Session, die sich auf die Ideenfindung für AI-Lösungen mit ChatGPT und anderen Methoden konzentriert. Der Worksho...",AI 4 WORK,Einsteiger,"Workshop, Automation, Content, Adoption, Decision",2025-12-24
Halloween Coloring Book Promotional Script,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/halloween_coloring_book_promotional_script.md,"Erstelle ein detailliertes und ansprechendes Skript für ein Video zur Bewerbung eines Halloween-Malbuchs. Das Skript sollte 12 unterschiedliche Abschnitte oder ""Seiten"" innerhal...",AI 4 RETAIL,Profi,"Script, Kids, Retail, Content",2025-12-24
Halloweenbookideas,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/HalloweenBookIdeas.md,"Erstelle eine Liste von 12 Halloween-thematischen Buchideen, die auf Teenager mit einer grüblerischen und introspektiven Natur abzielen. Berücksichtige die Einbeziehung von Elem...",AI 4 WORK,Profi,,2025-12-24
Health And Wellness Content,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_retail/Health%20And%20Wellness%20Content.md,"Erstelle einen umfassenden ChatGPT-Prompt für einen Autor von Gesundheits- und Wellnessinhalten, der sich an Zielgruppen richtet, die chronische Krankheiten bewältigen, Wellness...",AI 4 RETAIL,Profi,"Retail, Content, Strategie",2025-12-24
Healthy Meal Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/healthy_meal_plan.md,Entwickle einen detaillierten Plan zur Erstellung gesunder Mahlzeiten basierend auf spezifizierten Lebensmitteln. Berücksichtige folgende Aspekte:,AI 4 WORK,Einsteiger,,2025-12-24
Hello Kitty Plr Kits For Coloring Books,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/hello_kitty_plr_kits_for_coloring_books.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich abschließen können. Atmen Sie tief durch und gehen Sie Schritt für Schritt vor. Den...",AI 4 WORK,Profi,Content,2025-12-24
Hiring Online Business Manager,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/hiring_online_business_manager.md,"Ich suche nach Anleitung zur Einstellung eines Online Business Managers (OBM), um mir beim Start meines ersten Online-Geschäfts zu helfen, das sich auf die Erstellung und das An...",AI 4 WORK,Profi,"Analyse, Research, Prozesse, Training, Strategie",2025-12-24
Historical Coloring Book,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/historical_coloring_book.md,"Erstellen Sie ein 6-seitiges Malbuch, bei dem jede Seite einem historischen Thema gewidmet ist, das ein breites Publikum anspricht, das sich für Geschichte interessiert. Stellen...",AI 4 WORK,Profi,"Checkliste, Prozesse, Content",2025-12-24
Holiday Gathering Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/holiday_gathering_guide.md,Erstelle einen umfassenden Leitfaden für die Organisation eines Feiertagstreffens für eine große Familie mit besonderen Traditionen. Deine Antwort sollte folgende Aspekte abdecken:,AI 4 WORK,Profi,Strategie,2025-12-24
Home Daycare Lesson Plan,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/home_daycare_lesson_plan.md,"Erstelle einen Unterrichtsplan für eine häusliche Kindertagesstätte, der für mehrere Altersgruppen angepasst werden kann, von Säuglingen bis zu Kindern im Alter von 5 Jahren. Be...",AI 4 KIDS,Einsteiger,Kids,2025-12-24
Home Improvement Promotion,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_thought_leadership/Home%20Improvement%20Promotion.md,Erstelle Werbeinhalte für ein Heimwerker-Unternehmen mit Fokus auf Kreativität und Effektivität. Berücksichtige die folgenden Aspekte:,AI 4 THOUGHT LEADERSHIP,Profi,"Email, Content, Strategie",2025-12-24
Home Improvement Promotion,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/legacy_translated/de/ai4_unk/Home%20Improvement%20Promotion.md,"Erstelle promotional Inhalt for a home improvement company, focusing on creativity and effectiveness. Füge ein the following aspects:",AI 4 WORK,Profi,"Email, Content, Strategie",2025-12-24
Homeschooling Special Needs Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/homeschooling_special_needs_guide.md,"Erstelle einen umfassenden Leitfaden für Eltern im Vereinigten Königreich, die ihr Kind mit besonderen Bedürfnissen zu Hause unterrichten möchten. Berücksichtige die folgenden K...",AI 4 KIDS,Profi,"Finance, Kids",2025-12-24
Homocysteine Measurement Organizations,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/homocysteine_measurement_organizations.md,"Stellen Sie mir klärende Fragen, bis Sie zu 95% sicher sind, dass Sie die Aufgabe erfolgreich erfüllen können. Atmen Sie tief durch und gehen Sie es Schritt für Schritt an. Denk...",AI 4 WORK,Profi,,2025-12-24
