Titel,PromptURL,Beschreibung,Kategory,Level,Prompt Tags,Updated
One-Pager Builder (AI 4 WEALTH) #17,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/27_one_pager_builder_ai_4_wealth_17.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting, Decision",2025-12-24
One-Pager Builder (AI 4 WEALTH) #2,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/12_one_pager_builder_ai_4_wealth_2.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting, Decision",2025-12-24
One-Pager Builder (AI 4 WEALTH) #7,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_wealth/17_one_pager_builder_ai_4_wealth_7.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WEALTH,Einsteiger,"Finance, Wealth, Reporting, Decision",2025-12-24
One-Pager Builder (AI 4 WORK) #12,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/22_one_pager_builder_ai_4_work_12.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse, Decision",2025-12-24
One-Pager Builder (AI 4 WORK) #17,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/27_one_pager_builder_ai_4_work_17.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse, Decision",2025-12-24
One-Pager Builder (AI 4 WORK) #2,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/12_one_pager_builder_ai_4_work_2.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse, Decision",2025-12-24
One-Pager Builder (AI 4 WORK) #7,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/17_one_pager_builder_ai_4_work_7.md,Baut eine 1-Seite Entscheidungs-/Projektübersicht.,AI 4 WORK,Einsteiger,"SOP, Automation, Prozesse, Decision",2025-12-24
Online Education Guide,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_kids/online_education_guide.md,"Erstelle einen umfassenden Leitfaden zur Erkundung von Online-Bildungsressourcen in den Bereichen Rechnungswesen und Finanzen, Finanzplanung und Finanzkompetenz. Deine Antwort s...",AI 4 KIDS,Einsteiger,"Finance, Kids, Training",2025-12-24
Opendoor Research Report,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/opendoor_research_report.md,"""Ich recherchiere über Opendoor, ein Immobilienentwicklungsunternehmen, das Co-Living-Räume gebaut und verwaltet hat, aber später unerwartet geschlossen wurde. Ich benötige eine...",AI 4 WORK,Profi,"Analyse, Research, Prozesse, Finance, Reporting",2025-12-24
Operational Technology Cybersecurity Wbs,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/operational_technology_cybersecurity_wbs.md,"Erstellen Sie eine detaillierte Projektstrukturplan (Work Breakdown Structure, WBS) für ein Operational Technology (OT) Cybersecurity-Projekt. Berücksichtigen Sie die folgenden ...",AI 4 WORK,Profi,"Analyse, Content, Safety, Training, Strategie",2025-12-24
Optimize Content For Seo,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/optimize_content_for_seo.md,"Erstelle einen umfassenden Leitfaden zur Optimierung von Inhalten für SEO, der alle relevanten Dimensionen behandelt. Deine Antwort sollte folgende Aspekte abdecken:",AI 4 FREE EDUCATION,Profi,"Analyse, Content, Strategie",2025-12-24
Optimize Landing Page Seo,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_free_education/optimize_landing_page_seo.md,Erstelle einen detaillierten SEO-Optimierungsleitfaden zur Verbesserung der Leistung einer Landing Page. Deine Antwort sollte sich auf die folgenden Bereiche konzentrieren:,AI 4 FREE EDUCATION,Profi,"Analyse, Content, Strategie",2025-12-24
Optimize Linkedin Ads,https://raw.githubusercontent.com/janafattah/alphamint-prompts/main/library/de/ai4_work/optimize_linkedin_ads.md,"Erstellen Sie einen umfassenden Leitfaden zur Optimierung von LinkedIn-Anzeigen mit dem Ziel, Leistung und Konversionsraten speziell für Text Link Ads (TLAs) und Message Ads zu ...",AI 4 WORK,Profi,"LinkedIn, Strategie",2025-12-24
